year,days_feels_above_90,days_feels_above_100,days_feels_below_32,days_temp_above_90,days_temp_above_100,school_days_feels_above_90,school_days_temp_above_90
1990,12,0,10,21,1,9,17
1991,6,0,2,8,0,4,6
1992,0,0,4,6,0,0,5
1993,11,2,6,22,4,10,19
1994,4,0,4,9,0,4,9
1995,11,0,0,21,2,5,15
1996,14,0,0,22,2,10,16
1997,7,0,4,11,1,7,10
1998,16,3,6,17,3,12,12
1999,10,1,1,14,0,8,12
2000,5,2,0,8,3,5,8
2001,10,0,2,16,2,8,13
2002,9,0,5,22,2,7,18
2003,16,0,3,23,2,15,21
2004,5,0,3,11,0,5,11
2005,2,0,1,4,0,0,2
2006,13,2,3,18,2,6,10
2007,7,0,8,9,0,6,8
2008,12,0,3,17,4,11,16
2009,6,0,3,17,0,5,15
2010,4,0,0,10,1,4,10
2011,4,1,3,6,1,2,4
2012,4,0,5,6,0,4,5
2013,3,0,11,5,0,3,4
2014,3,1,2,8,1,2,7
2015,14,2,3,19,3,12,16
2016,2,0,3,9,0,2,9
2017,10,3,2,12,3,8,8
2018,1,0,1,2,0,1,2
2019,11,1,4,14,2,11,13
2020,11,2,0,20,4,11,20
2021,4,0,0,6,0,4,6
2022,9,2,1,11,2,9,11
2023,0,0,1,3,0,0,3
2024,9,0,0,16,1,5,10
2025,4,0,0,5,0,4,5
